name,good,good_pos
0994863 Жилет 110/116 Желтый 073142276406841491474331768,жилет,"(8, 13)"
"Чай Эвалар БИО Иммунитет ф/п №20 по 1.5 г  (594002, 16.04.2023)",чай,"(0, 3)"
Котлета по-киевски с пюре 280гр Робин Бобин,котлета,"(0, 7)"
4610028050138 Перловка Надежда 900гр,перловка,"(14, 22)"
"Мороженое ""ВЕРТУШКА""  в вафельном стаканчике с чёрной смород 100г",мороженое,"(0, 9)"
Клей-карандаш Kores Paper Stick 20г 8шт/уп 17203,клей,"(0, 4)"
Корм д/кошек Форель/Креветки Ломтики в Cоусе 85г Sheba,корм,"(0, 4)"
Шорты Brave Soul WR010630409,шорты,"(0, 5)"
"Йогурт из цельного молока 3,4-4% 450г. в ассорт. (крынка) Коломенское",йогурт,"(0, 6)"
Кроссовки для баскетбола Nike Hyperdunk X,кроссовки,"(0, 9)"
"Шприц 2мл с иглой (3-комп), №1 (181223 годен до 01.11.2023)",шприц,"(0, 5)"
Печенье Американо с кус. шоколада 270гр (Кухмастер,печенье,"(0, 7)"
"Джинсы (010227185012,33,59D0)",джинсы,"(0, 6)"
Шоколад Коммунарка г.абрико200,шоколад,"(0, 7)"
"Подвеска С.К. б/у  (Золото 585 2660x0,63/0,63)",подвеска,"(0, 8)"
Сироп Клубника 1л 1/6 SPOOM шт,сироп,"(0, 5)"
Сырок глазир. ЧУДО ваниль 40г 1/24/12,сырок,"(0, 5)"
Консервы для кошек Sheba Плежер  утка/цыпленок 85г пауч ,консервы,"(0, 8)"
Задвижка накладная 50мм цинк,задвижка,"(0, 8)"
Гайка  М10  DIN934 / ГОСТ5915/5927 цинк  1000шт(10кг),гайка,"(0, 5)"
Liliani 20o 167-11 ч/к ботильоны (Размер № 39) Размер № 39,ботильоны,"(23, 32)"
1) YY781-80X-XS БЛУЗКА ЖЕНСКАЯ,блузка,"(16, 22)"
Клипса от храпа (с магнитами),клипса,"(0, 6)"
Диск торм. MB/SCHMITZ SIMPECO 430/211x45/132.5 10n-238-M14x1.5,диск,"(0, 4)"
Мармелад Акварель вишня/крыжовник/облепиха м/у 200 г,мармелад,"(0, 8)"
"1. УТ-00002852 Манометр MeI 63 мм 0-6 бар 1/4"" вертикальный",манометр,"(15, 23)"
"068165 Лампа светодиодная OLL-A60-20Bт-230-2,7-4-6,5К-E27 ОНЛАЙТ",лампа,"(7, 12)"
Подушка 50*70 STH-Токио,подушка,"(0, 7)"
"12.174579  Краска колеровочная зел яблоко Dali 0,25л",краска,"(11, 17)"
Салат Белые ночи кг,салат,"(0, 5)"
Столичная горчица  195 гр,горчица,"(10, 17)"
ЦУКАТЫ АНАНАС ЛИСТ,цукаты,"(0, 6)"
ЛИМОНАД ГРУЗИНСКИЙ НАТАХТАРИ ТАРХУН 0.5Л СТ/Б,лимонад,"(0, 7)"
ЦАРИЦЫНО КОЛБАСА ДОКТОРСКАЯ С НАТУР.МОЛОКОМ ВАР ВЕС,колбаса,"(9, 16)"
Туфли женские Lillia Lottie 26130833 (4),туфли,"(0, 5)"
"СКОБЫ ДЛЯ СТЕПЛЕРА 8 ММ. ""TOPEX"" ( 1000 ШТ.)",скобы,"(0, 5)"
VC Philips FC6164/02,,"(0, 0)"
1:ГЛЮКОЗА Р-Р Д/ИНФ ФЛ.ПЭТ 5% 250МЛ,глюкоза,"(2, 9)"
"Крем чистящий универсальный ""Cif"" антибактериальный  500мл",крем,"(0, 4)"
"Колпачок на ниппель, JY-505, пластик, красный, RJGVLJY505R1",колпачок,"(0, 8)"
"0000000 Обои виниловые на флизелиновой основе арт.7887 (712257-10 (9рул.)), 10.05х1.06м (рул.)",обои,"(8, 12)"
ВИТАОН бальзам д/полости рта бальзам Караваева фл. 30мл,бальзам,"(7, 14)"
КАШПО KETER ПОДВЕСН,кашпо,"(0, 5)"
"Молоко пит пастер 2,5% 900мл полипак КизК/12",молоко,"(0, 6)"
Купальник спорт жен Rivage Line 8330 фи,купальник,"(0, 9)"
ЙОГУРТ НЕЖНЫЙ ГРАН-МАЛ 0.1 %  285Г ПИТ,йогурт,"(0, 6)"
Очиститель тормозных дисков 650мл BRAKE DISC CLEANER (LAVR SERVICE) Ln3516,очиститель,"(0, 10)"
Водолазка Karl Lagerfeld WR012263429,водолазка,"(0, 9)"
Гуашь Луч 12 цв.20мл,гуашь,"(0, 5)"
ДЖИНСЫ ОБЛЕГАЮЩЕГО КРОЯ С ВЫСОКОЙ ПОСАДКОЙ IX00000000451046,джинсы,"(0, 6)"
Огурцы с зел в заливке на лимон кислоте ГОСТ ст/б твист 720мл*8 Кенже/КБР,огурцы,"(0, 6)"
Игрушка пл 840 С),игрушка,"(0, 7)"
8) 3829E-05J-40 ШОРТЫ ЖЕНСКИЕ,шорты,"(16, 21)"
"Таз 12,0л шт",таз,"(0, 3)"
"р Риондо Просеко 150 мл, 1 шт",,"(0, 0)"
1) 8070D-01X-104 БРЮКИ ДЛЯ ДЕВОЧКИ,брюки,"(17, 22)"
Кукла Анна и Эльза муз. 47см.,кукла,"(0, 5)"
2) 0854A-99X-134 ЮБКА ДЛЯ ДЕВОЧКИ,юбка,"(17, 21)"
Паназиатский Салат,салат,"(13, 18)"
"ДЖЕМ ""Махеев""  в ассорт.  300 гр д\п",джем,"(0, 4)"
"Антибактериальный гель аромат BAZAR, 30 мл",гель,"(18, 22)"
Торцевая площадка 180*250 горизонтальная с решеткой (шт),площадка,"(9, 17)"
TiTBiT Хрустящие подушечки с паштетом из индейки д/кошек 30г 013878,подушечки,"(17, 26)"
АБРИКОСЫ В СИРОПЕ ДОМАШНИЕ СЛАДОСТИ 530 МЛ,абрикосы,"(0, 8)"
"Классические сказки  
Cъшфър = 423,00",сказки,"(13, 19)"
"Ванночка маляр. 150*300мм .""Startul Master""  ST0801-15-30",ванночка,"(0, 8)"
2) 5917C-99X-116 КУРТКА ДЛЯ ДЕВОЧКИ,куртка,"(17, 23)"
L41113200-. 6.5  Ботинки женские утепленные VAYA BLAZE TS CSWP черный/серый р. 6.5,ботинки,"(17, 24)"
Набор для удаления клеща,набор для удаления клеща,"(0, 24)"
Мороженое Дабл Магнат Kарамель 74гр БЗМЖ,мороженое,"(0, 9)"
Носки дет р. 16-20 (CLEVER WEAR) (Размер:18-20 Цвет:Белый),носки,"(0, 5)"
"Кольцо упл КиК -57,1 (шт)",кольцо,"(0, 6)"
"Муфта 20х1/2"" ВР обжим VTm.302 VALTEC",муфта,"(0, 5)"
Сырок глаз.ваниль 45 г Ростагроэкспорт,сырок,"(0, 5)"
Кружка нерж. Fresco d11см,кружка,"(0, 6)"
"Трусы для девочки / 1368 (р.116,60,30,6лет)",трусы,"(0, 5)"
Сдоба ХЗ №2 Пасхальная Радонеж 150г,сдоба,"(0, 5)"
405613SE (3) 15% SEPHORA ТОНАЛЬНАЯ ОСНОВА МАТИРУ,основа,"(35, 41)"
Колодки 2121 передние Лада Имидж,колодки,"(0, 7)"
Ростекс супер черный 1л грунт противокоррозионный  TIKKURILA,грунт,"(24, 29)"
53018-Набор для творчества Lori,набор для творчества,"(6, 26)"
Корм д/кошек Friskies кролик-ово,корм,"(0, 4)"
Шприц одн стер 3-х комп 10 мл.,шприц,"(0, 5)"
Сигареты Винстон компакт плюс блю ЧЗ,сигареты,"(0, 8)"
6) XV236-90M-XS ШОРТЫ ЖЕНСКИЕ,шорты,"(16, 21)"
"Водка Царская Золотая 0,5л 40%",водка,"(0, 5)"
Толстовка Bambinizon:Тёмно-серый:98.,толстовка,"(0, 9)"
Пакет 12*15*7 см 300700Н,пакет,"(0, 5)"
4 2456552750265 БРЮКИ ЖЕН/ESPR/108E,брюки,"(16, 21)"
Йогурт Добрая буренка 1% 450г Саратов,йогурт,"(0, 6)"
Бегунок 3 спираль,бегунок,"(0, 7)"
Празител  для котят и кошек суспензия (15 мл)(шт),суспензия,"(28, 37)"
"Сок ""Фруктовый остров ""Яблоко нектар""  0,2л 1/27",сок,"(0, 3)"
"Вода Ессентуки  №4  Калаборское месторождение 1,5л",вода,"(0, 4)"
Масло моторное Лукойл Супер 10W-40 1л (шт),масло,"(0, 5)"
"Тональный флюид для естественного сияния кожи , O40, 35 мл",флюид,"(10, 15)"
0103KSP90RU Снят с производства Втулка амортизатора | зад прав/лев | Akitaka,втулка,"(32, 38)"
Печень трески Kитбай 230гр,печень,"(0, 6)"
"Фрутелла конфеты жевательные ассорти 41-42,5г",конфеты,"(9, 16)"
Пеленки впитывающие Mepsi 60*60 5шт,пеленки,"(0, 7)"
Эпилятор Rowenta EP4930F0 Aquasoft,эпилятор,"(0, 8)"
1805 TOR Шорты Cap Horn (синий) (L),шорты,"(9, 14)"
"072604:энергетич напиток б/а Ритм оригинал 0,5л пэт",напиток,"(17, 24)"
Выключатель 1 кл. проход DEFNE 42001005 белый (12),выключатель,"(0, 11)"
"01388031 Сорочка д/м КАТ1-158-39-219 ___,140-_72-33 ора-00 2000998486785",сорочка,"(9, 16)"
"Изолента ПВХ 15*20м черная АVIORA, ЭРА,REXANT шт",изолента,"(0, 8)"
"Мясное ассорти 0,200",мясное ассорти,"(0, 14)"
"Салфетки Бумажные рулонные Plushe ""Домашние полотенчики"", 25м,1 рулон., 2 слоя, белые,18 в упаковке (FSC Mix Credit RR-COC-64303",салфетки,"(0, 8)"
"Линзы контактные, арт. 1797936",линзы,"(0, 5)"
Вака High Quality корм для крыс и мышей 500г 1х10,корм,"(18, 22)"
4 2157571603678 КУРТКА ДЛЯ/REGA/TRA4,куртка,"(16, 22)"
295042    Мыло туалетное Невская косметика 90г Натуральное Антибактериальное,мыло,"(10, 14)"
Хлеб зерновой с кунжутом 400 г ,хлеб,"(0, 4)"
Играем Вместе. Автомат с мягкими пулями на присосках,автомат,"(15, 22)"
Шоколад Милка 83г белый пористый/фундук / АКЦИЯ,шоколад,"(0, 7)"
"Эмалир. кастрюля 4,0л стек. крыш. Тыква INTEROS 15204/4,0** (шт)",кастрюля,"(8, 16)"
Мюсли Вышний город 5 злаков со льном 350г Ягодные,мюсли,"(0, 5)"
"БЗМЖ Сыр ""Шенфилд"" творожный/зелень 140гр",сыр,"(5, 8)"
[19305] Чехол рычага КПП ВАЗ-2114/2114,чехол,"(8, 13)"
1. Тест на берем Clearblue Easy,тест,"(3, 7)"
Эскимо Ленинградское 70гр 1/30 (Н.Челны) (689),эскимо,"(0, 6)"
"TNL, Нить на клеевой основе (Перламутровая, серебряная)",нить,"(5, 9)"
Кофе Эгоист Приват растворимый 100гр ст/б,кофе,"(0, 4)"
"Коньяк Shustoff пятилетний 0,25л 40%",коньяк,"(0, 6)"
"Кошелек 75W00105-9Y099993 (NR, K501)",кошелек,"(0, 7)"
"Тетрадь 100л кл. ""My dreams. Дизайн 14"" ",тетрадь,"(0, 7)"
Вентилятор настольный MERCURY МС-7005,вентилятор,"(0, 10)"
"Лотерея ""Русское Лото"" - Билет № 120477",,"(0, 0)"
Молочный коктейль с шоколадным печеньем,коктейль,"(9, 17)"
"Лейка для душа d 79,6 мм 3 режима ABS-пластик хром; IDDIS, A11031",лейка для душа,"(0, 14)"
Чай Азерчай 25пак зеленый классическый,чай,"(0, 3)"
Подвеска 74370*(шт),подвеска,"(0, 8)"
МАЙОНЕЗ  КЛАССИЧЕСКИЙ   50% 200 гр Кальве,майонез,"(0, 7)"
Свекла Бордо 237 среднеранний 3г СЕМБАТ,свекла,"(0, 6)"
"1. Чайник Kitfort KT-633-3, бежевый",чайник,"(3, 9)"
ЧИСТАЯ ЛИНИЯ ГЕЛЬ ДЛЯ УМЫВАНИЯ ИДЕАЛЬНАЯ КОЖА 10,гель,"(13, 17)"
"Водка МЯГКОВ Серебряная 40,0% 0,7л (Россия)",водка,"(0, 5)"
Готовый завтрак Несквик Банан 220 гр,завтрак,"(8, 15)"
"Макароны ""Знатные"" в асс.",макароны,"(0, 8)"
Сникерс 60 гр шт,,"(0, 0)"
Свитер GSW005118 трикотаж серый меланж L/170,свитер,"(0, 6)"
"K1689A6 БЛУЗКА (11/12, RD74-RED, 20 SP)",блузка,"(8, 14)"
2476923 [М]  Обувь весна/осень TENDANCE ,обувь,"(13, 18)"
БН Носки детские Скул 14С 3081 р.17-18 Т.Серый 490,носки,"(3, 8)"
Филе Сельди в асс 115г ж/б Раптика,филе,"(0, 4)"
8 2456551141347 Плед 125X1/LOVE/P226,плед,"(16, 20)"
Шоколад Альпен Гольд (Каппучино) 90гр,шоколад,"(0, 7)"
Калькулятор 8 разрядный карманный Casio HL-4A,калькулятор,"(0, 11)"
[M] Кроссовки Bershka RU210322-531187-001 UFiaNTt*sDi;m,кроссовки,"(4, 13)"
Сельдь атлантическая замор.вес. 1кг /Серова соцкарта,сельдь,"(0, 6)"
G26459M10 M GT 19 велосипед горный ZASKAR COMP black,велосипед,"(18, 27)"
Бальзам Дар женщине безалкоголь Сек1,бальзам,"(0, 7)"
2.Пульмикорт 0.25мг/мл 2мл N 5 д/инг.(шт,,"(0, 0)"
ВОГ Классик Моментс МРЦ120,,"(0, 0)"
Книга Всё обо мне. Только для ма,книга,"(0, 5)"
Бюстгальтер Vivat 5529,бюстгальтер,"(0, 11)"
"VS Michelle фон /889622 / (21966, РОССИЯ) шт",,"(0, 0)"
Паста перечная перец красный 80гр Русский Аппетит*12 В-261,паста,"(0, 5)"
Винстон ХStyle Блю сигареты т/у,сигареты,"(19, 27)"
Пюре Фруто Няня из яблок гипоаллергенное 250гр ст/б,пюре,"(0, 4)"
"Легкая утепленная куртка, Светло-розовый, 134",куртка,"(18, 24)"
"БЗМЖ  Молоко Дмитровское 3,2% 900мл.бут.",молоко,"(6, 12)"
"38714   Выключатель.1-кл. СП Мира ,метал.сер.Lezard 701-1010-100",выключатель,"(8, 19)"
"Клеенка Прозрачная плотн 0,4мм 140см /30м пог.м.Италия",клеенка,"(0, 7)"
Werkel Aluminium WL11-Frame-02 Рамка на 2 поста (алюминий) шт,рамка,"(31, 36)"
Папка Prof Press Школьная класси,папка,"(0, 5)"
"Сервелат Финский ""Папа может"" в/к в/у (981) Останкино",сервелат,"(0, 8)"
Напиток SPAR имбирный б/а с/г ,напиток,"(0, 7)"
"Рамка 2П, белая, Valena, пр-во Legrand",рамка,"(0, 5)"
9.12304 Скотч 19*33 Milen TSM316T,скотч,"(8, 13)"
6104232 Твен М. Приключения Тома Сойера (сер. Школьная библиотека),,"(0, 0)"
5) ZA667-33X-ONE ШАПКА,шапка,"(17, 22)"
мармелад Сказка апельсиновый 200г,мармелад,"(0, 8)"
Рассольник МС (мясосодержащий) 500г СКО Буздякский ТМ,рассольник,"(0, 10)"
SKINLITE МАСКА ВОССТАНАВЛ ГИДРОГЕЛЕВАЯ,маска,"(9, 14)"
Макароны Макфа Триколлини свитки в/с 450гр,макароны,"(0, 8)"
21P_2AGH522Z4_252_48 ПИДЖАК,пиджак,"(21, 27)"
1 2157447656654 Джемпер д//Eleg/E01,джемпер,"(16, 23)"
Духи Ежевичное мороженное 10г,духи,"(0, 4)"
Соус костровок для мяса перечный 300гр.,соус,"(0, 4)"
71310401000 Брюки iBlues (голубой) (44),брюки,"(12, 17)"
Игра Бродилка,игра,"(0, 4)"
79A00639-9Y099998 Кеды Trussardi (фиолетовый/мультиколор) (38),кеды,"(18, 22)"
Торт бискв. Baker House Кармельон 350гр,торт,"(0, 4)"
Маринад Русский аппетит 290мл для сочной курицы дой-пак,маринад,"(0, 7)"
Картофель жар. с опятами,картофель,"(0, 9)"
"НАПИТОК ПИВ. ЖИГУЛЕВСКОЕ СВЕТЛОЕ 4,1% ПЭТ 1,35Л",напиток,"(0, 7)"
"Точилка пластиковая Maped ""Shaker"", 1 отверстие, контейнер, ассо",точилка,"(0, 7)"
Ведро-туалет 17л Летний день М2328,ведро-туалет,"(0, 12)"
Конфеты O'Zera Пралине 190г ,конфеты,"(0, 7)"
"Куртка д/д / 18315Aкрасный (р.128,64,32,8лет)",куртка,"(0, 6)"
"вода газ Джамбо-кола 2,5л",вода,"(0, 4)"
"Чехонь вяленая ИП Пасынкова М.А., 1/3кг",чехонь,"(0, 6)"
"РУБАШКА_ДЛ CASA MODA MEN АРТ.BM_KENT+313610500(102,46)",рубашка,"(0, 7)"
Demix / 108072-99 48  Джемпер мужской  чёрный р. 48,джемпер,"(22, 29)"
"18JWUZ-022 Кофта NORVEG (серый меланж, 128-134)",кофта,"(11, 16)"
 4600492300037 Мармелад Клубн.нектар 250г Москва Росси,мармелад,"(15, 23)"
Ромашка цв. 50г изм,ромашка,"(0, 7)"
Пунш согревающий,пунш,"(0, 4)"
Торт Ленинградский Колобок,торт,"(0, 4)"
"59087 ПАПКА-КОНВЕРТ НА КНОПКЕ С6 BERLINGO 180МКМ,ЗЕЛЕНАЯ 06304",папка,"(6, 11)"
"TV штекер, (папа, угловой)-F гнездо, Arbacom",штекер,"(3, 9)"
"Напиток ЕМВ б/а Таежный сбор 0,5л ст.",напиток,"(0, 7)"
"Коробка подарочная ""Enjoy it"" 15*15*6.5с",коробка,"(0, 7)"
УКСУС /СИБИРСКИЙ УКСУС/ СТОЛОВЫЙ 9%  ПЛАСТИК 250М,уксус,"(0, 5)"
"Свеча чайная 30 шт/упак., Манго Bolsius",свеча,"(0, 5)"
"Чай Принцесса Ява зеленый лимон 25п*1,5г",чай,"(0, 3)"
2. БИОДЕРМА СЕНСИБИО ВОДА ОЧИЩ. 100мл(УП,вода,"(21, 25)"
"Сок Дары Кубани Яблочный 0,2л",сок,"(0, 3)"
4610016498843 ВИНО СТОЛОВОЕ ИЗАБЕЛ,вино,"(14, 18)"
"Соединитель троса двойной (DUPLEX) М 5,0",соединитель,"(0, 11)"
[58113] Рио Палочки д/волн.поп и экзотов,палочки,"(12, 19)"
1) YW954-57J-364 ДЖИНСЫ МУЖСКИЕ,джинсы,"(17, 23)"
Напиток на соке Калинов 1л Тропические фрукты,напиток,"(0, 7)"
"Карандаш ч/г Berlingo ""Flexy"" HB, с ластиком, заточен., пластиковый",карандаш,"(0, 8)"
"Вода минеральная ""Ессентуки"" №17 450 мл",вода,"(0, 4)"
Био-Йогурт Слобода 2% 260г Арбуз-Мята пи,йогурт,"(4, 10)"
ГОВЯДИНА ВОК С РИСОМ 340 г НАТУРБУФЕТ,говядина,"(0, 8)"
"Игрушка для собак Зооник ""Ветка"" виниловая 330мм (13980)",игрушка,"(0, 7)"
Гель д/волос ФЕЯ мокр.эфф-т 125,гель,"(0, 4)"
"262431010042 150-19в-2 Брюки д/м ""Прохор"" р.152-80 (шт)",брюки,"(23, 28)"
майонез гастрономи 200гр,майонез,"(0, 7)"
Подгузники д/взр. Веллфикс Супер р.M №30(1 / 3,подгузники,"(0, 10)"
"Напиток б/а с/г 0,5л Пепси",напиток,"(0, 7)"
5211 Эмаль для супортов красная KU 520мл шт,эмаль,"(5, 10)"
"Платье (020348155031,S,79M0)",платье,"(0, 6)"
БЕКОН /ДЕРЕВЕНСКИЙ/ С/К НАРЕЗКА  100 Г,бекон,"(0, 5)"
"Декор пасхальный курочки в гнезде, пластик, полиэстер, 12-15см, арт.1610-03  528-117",декор,"(0, 5)"
Чипсы PRINGLES Рисовые со вкусом барбекю террияки по -японски 160г м/у,чипсы,"(0, 5)"
4600935700882         ОГУРЦЫ ОГОРОДНИКОВ 6,огурцы,"(22, 28)"
Мотор омывателя ВАЗ-2110 черный АТ 8010-008 WW,мотор,"(0, 5)"
Маффин с мюсли 1000 гр,маффин,"(0, 6)"
"Пиво Афанасий Ремесленное 4,5% 1л ст/б шт",пиво,"(0, 4)"
"Калгана корень, 50 г",корень,"(8, 14)"
Полоски для эпиляции7*20(100шт) белые  italwax,полоски,"(0, 7)"
Энергетич. напиток Драйв Ми Яг,напиток,"(11, 18)"
OMSA Attiva 20 цв. fumo р.5 шт,,"(0, 0)"
"Пиво ""Kлинское светлое"" светлое паст. 0,47л. с/б алк.4,7% АО ""СА",пиво,"(0, 4)"
WINNER сух. д/с 800г мел.пород Курица шт,,"(0, 0)"
"DM - Очищающий гель для жирной кожи, 1000мл.",гель,"(15, 19)"
"ДАРДАРИ Тархун 0,5 элита",тархун,"(8, 14)"
"FILA / 5FM00002-125 6,5  Кроссовки женские DISRUPTOR II PREMIUM белый/синий/красный р. 6,5",кроссовки,"(25, 34)"
ПЕЛЬМЕНИ СИБ.КОЛЛ.НОВОСИБИРСКИ,пельмени,"(0, 8)"
"6 Терафлю от гриппа и простуды пор-к д/р-ра д/вн.прим 22,1г саше",,"(0, 0)"
"Базилик Василиск (ранний,зеленый) 0,3г серия Авторский Гавриш",базилик,"(0, 7)"
ГРЕЧКА ЗЕЛЁНАЯ Д/ПРОРАЩИВАНИЯ 500ГР,гречка,"(0, 6)"
ШАМПУНЬ КОКОСОВОЕ МОЛОКО 400МЛ,шампунь,"(0, 7)"
Цукаты из черноплодной рябины F Сек1,цукаты,"(0, 6)"
"Молоко сгущ. Алексеевское 270г 8,5% д/п (24) БЗМЖ АМКК",молоко,"(0, 6)"
"Карандаш ч/г Berlingo ""Flexy Neon"" HB, 1шт",карандаш,"(0, 8)"
АРОМАТИЗАТОР TENSY  FLAME БАБЛ ГАМ,ароматизатор,"(0, 12)"
"Салат из свежей капусты 1кг, 0,148 кг",салат,"(0, 5)"
Перец болгарский шт.,перец,"(0, 5)"
Ткань арт.30-FF-3,ткань,"(0, 5)"
Сигареты Bond premium mix (122),сигареты,"(0, 8)"
Кубаночка Кукуруза 425гр сладк ж б,кукуруза,"(10, 18)"
Форель Лазурный Берег 130гр Филе-кусок с кожей с,форель,"(0, 6)"
Ложка одноразовая чайная в наборе 12шт ,ложка,"(0, 5)"
"Сок ""Агуша"" ЯБЛОКО-ПЕРСИК с мякотью 200мл",сок,"(0, 3)"
Салат с сыром фета МИНИ,салат,"(0, 5)"
Сметана СД 20% 400гр п/ст,сметана,"(0, 7)"
"Лак акриловый д/нар. и внутр. 2,2кг, матовый//ВГТ",лак,"(0, 3)"
"Сигареты с фильтром Camel Filters, 20шт",сигареты,"(0, 8)"
5) YY578-80X-S БЛЕЙЗЕР ЖЕНСКИЙ,блейзер,"(15, 22)"
Шницель куриный с картофелем фри 100/150/30,шницель,"(0, 7)"
Наполнитель Сибирская Кошка 3 л Универсвл,наполнитель,"(0, 11)"
00193145844070 : M NK THRMA HD PO CMO 2,,"(0, 0)"
Чипсы ЛЭЙС * 65гр стико<67941>,чипсы,"(0, 5)"
"Трещотка 1/4"" 45 зубца 2 полож.150мм резин.Автодело 39727",трещотка,"(0, 8)"
4556 Горошек зеленый Дядя Ваня 400гр.1/12,горошек,"(5, 12)"
Пирожок с вишневым конфитюром 70 г,пирожок,"(0, 7)"
Соус д/гриля Якитори Sen Soy 120г м/у,соус,"(0, 4)"
Угол     штукатурный перф ПВХ 3м 25*25 ИДЕАЛ,угол,"(0, 4)"
Werkel Рамка для двойной розетки (сереб.рефлен) WL,рамка,"(7, 12)"
"Кисть плоская STAYER ""US"" нат.щет.,дер.руч.100мм",кисть,"(0, 5)"
5 2456564469230 Колготки д/CHOU/004.,колготки,"(16, 24)"
Дезодорант REXONA спрей жен АЛОЭ ВЕРА 150мл,дезодорант,"(0, 10)"
"Молоко питьевое стерилизованное ""РОГАЧЕВЪ"" 2,5% 1л",молоко,"(0, 6)"
Сахарная пудра 150 гр.Мастер Дак,пудра,"(9, 14)"
Средство от насекомых вредителей,средство от насекомых,"(0, 21)"
388. Масло подсолн Золотая Семечка 1л,масло,"(5, 10)"
"Пластырь Омнипласт, 5 м х 1,25 см, на рану(9080002731097)",пластырь,"(0, 8)"
"ТИЗИН ЭКСПЕРТ 0,1% спрей 10мл",спрей,"(19, 24)"
МПКолб изд.Сосиски сливочные 450гр Вязанка,сосиски,"(11, 18)"
Рубашка Лапушка LM109811187,рубашка,"(0, 7)"
Дихлофос ВАРАН УНИВЕРС б/з зел 145мл,дихлофос,"(0, 8)"
мармелад Вологодский 280г ягодами клюквы,мармелад,"(0, 8)"
мочалка д/тела Банная с ручками /Лилия/,мочалка,"(0, 7)"
4038082 Д.СЕКР.Вареники карт/гриб.800г,вареники,"(15, 23)"
Пластилин воздушный 24 цвета\пакет\KiKi\PL013 шт,пластилин,"(0, 9)"
Отвод канализационный 50*87гр,отвод,"(0, 5)"
2234076 Сумка всесезонная DIVA`S BAG TR1,сумка,"(8, 13)"
Плитка Aura Grey W M 31х61 NR Mat 1,плитка,"(0, 6)"
"Сметана ""Вкусняев"" ж.15%  250г. БЗМЖ",сметана,"(0, 7)"
Radius Toothbrush Scuba щетка зубная с резиновой ручкой черная (мягкая) (для правшей),щетка зубная,"(24, 36)"
"Консервы "" Доброфлот ""Печень и икра минтая 245гр",консервы,"(0, 8)"
БИЖУТЕРИЯ-9472-ЗА-10-ШТ,бижутерия,"(0, 9)"
Колготки классические Omero Efira 40 (40 playa nature L),колготки,"(0, 8)"
Масло моторное Motul 8100 Eco-lite 5W30 4л шт,масло,"(0, 5)"
"0000000 ЗУБР ПРОФ-А 1.1х36мм, Сверло по металлу, сталь Р6М5, класс А (шт)",сверло,"(30, 36)"
Тетрадь 12л косая линия Однотонная Школьная Т12нл_7560 ArtSpace,тетрадь,"(0, 7)"
"Кофе натуральный растворимый порошкообразный (15*2,5гр) King Coffee",кофе,"(0, 4)"
Джинсы Арт.7707 1500/0709,джинсы,"(0, 6)"
"Мыло-крем ""Невская Косметика"" Натуральное с протеинами шелка 90г",мыло,"(0, 4)"
Сухари Дем-ие Холодец с хреном,сухари,"(0, 6)"
"Ваза, L11 W11 H25 см",ваза,"(0, 4)"
Гель-лак SKY 10 мл №01 (шт),гель-лак,"(0, 8)"
Фасоль Ласточка  1кг.Юлдашев,фасоль,"(0, 6)"
M-015 Прокладка клапана сливной арматуры  (5/250) шт,прокладка,"(6, 15)"
6 2456553150460 Брюки жен/Subl/D600,брюки,"(16, 21)"
Бургер  с куринной котлетой  340 г 2 порц.,бургер,"(0, 6)"
4606500631834  Роза флорибунда Артур Белл (в ...,роза,"(15, 19)"
Грудинка соленая (толстая) в/у (Тайга),грудинка,"(0, 8)"
Дневник 1-4 кл Глобус.,дневник,"(0, 7)"
"Куры отварные, 75 Пор.",куры,"(0, 4)"
туфли закрытые женские N446 751HS-E44-14N (41),туфли,"(0, 5)"
Ковер Catrin VC2092-V102,ковер,"(0, 5)"
Квас ОЧАКОВСКИЙ фильтр.пастер. ПЭТ 1L,квас,"(0, 4)"
Шильдик Яркий день рождения,шильдик,"(0, 7)"
"Расческа DEWAL ""Эконом"" карманная 13см",расческа,"(0, 8)"
Клей Экон Экспресс 3гр секундный шт,клей,"(0, 4)"
Борщ украинский  с индейкой,борщ,"(0, 4)"
"656365 Кронштейн для рад. с дюбелем белый 8 мм, К6.7.18",кронштейн,"(7, 16)"
КОРЗИНА Д/ХРАНЕНИЯ С РУЧК СИН 18Х15Х15,корзина,"(0, 7)"
"Вино Пекорино 4 20 бел сух 13% 0,75л",вино,"(0, 4)"
11137 Гуашь Мини 6цв. Луч,гуашь,"(6, 11)"
"Котлеты из индейки ""Мираторг"" Домашние 300 гр.",котлеты,"(0, 7)"
Сцепление 6DCT250 неоригинал,сцепление,"(0, 9)"
Сосиски Велком Сливочные 460г в/у Россия,сосиски,"(0, 7)"
Тапки ж 149,тапки,"(0, 5)"
[M] Ботинки Tervolina LM052940781 CIl%XDY7LLT4G,ботинки,"(4, 11)"
"3.Швеппс 0,33 Ассортимент ж/б",,"(0, 0)"
Платье oodji LM062928940,платье,"(0, 6)"
Жидкое мыло Palmolive Натурэль мед и увлаж мол 300мл,мыло,"(7, 11)"
Толстовка жен Sevenext MD-488 черн/бел,толстовка,"(0, 9)"
2000001411056 Чемодан Grott 23 orn gry ABC-пласт 4к,чемодан,"(14, 21)"
"Куртка мужская (ЦВЕТ: Черный - 1, РАЗМЕР: 56)",куртка,"(0, 6)"
